,count,mean,std,min,25%,50%,75%,max
id,4.0,2.5,1.2909944487358056,1.0,1.75,2.5,3.25,4.0
 age,4.0,29.25,4.9916597106239795,24.0,25.5,29.5,33.25,34.0
id,4.0,2.5,1.2909944487358056,1.0,1.75,2.5,3.25,4.0
 age,4.0,29.25,4.9916597106239795,24.0,25.5,29.5,33.25,34.0
id,6.0,3.5,1.8708286933869707,1.0,2.25,3.5,4.75,6.0
 age,6.0,41.333333333333336,20.235282717735046,24.0,27.75,33.5,49.75,76.0
id,6.0,3.5,1.8708286933869707,1.0,2.25,3.5,4.75,6.0
 age,6.0,41.333333333333336,20.235282717735046,24.0,27.75,33.5,49.75,76.0
id,6.0,3.5,1.8708286933869707,1.0,2.25,3.5,4.75,6.0
 age,6.0,41.333333333333336,20.235282717735046,24.0,27.75,33.5,49.75,76.0
id,6.0,3.5,1.8708286933869707,1.0,2.25,3.5,4.75,6.0
 age,6.0,41.333333333333336,20.235282717735046,24.0,27.75,33.5,49.75,76.0
id,7.0,4.0,2.160246899469287,1.0,2.5,4.0,5.5,7.0
 age,7.0,43.42857142857143,19.28606701617468,24.0,29.5,34.0,55.5,76.0
id,11.0,3.4545454545454546,1.9679246105293957,1.0,2.0,3.0,4.5,7.0
 age,11.0,38.27272727272727,16.787441193290356,24.0,26.0,33.0,44.5,76.0
id,15.0,3.8,2.1447610589527217,1.0,2.0,4.0,5.5,7.0
 age,15.0,42.13333333333333,18.5467234944869,24.0,26.0,34.0,55.5,76.0
id,21.0,3.9047619047619047,2.142539659020619,1.0,2.0,4.0,6.0,7.0
 age,21.0,43.333333333333336,18.39655764900959,24.0,26.0,34.0,56.0,76.0
id,21.0,3.9047619047619047,2.142539659020619,1.0,2.0,4.0,6.0,7.0
 age,21.0,43.333333333333336,18.39655764900959,24.0,26.0,34.0,56.0,76.0
id,21.0,3.9047619047619047,2.142539659020619,1.0,2.0,4.0,6.0,7.0
 age,21.0,43.333333333333336,18.39655764900959,24.0,26.0,34.0,56.0,76.0
id,21.0,3.9047619047619047,2.142539659020619,1.0,2.0,4.0,6.0,7.0
 age,21.0,43.333333333333336,18.39655764900959,24.0,26.0,34.0,56.0,76.0
id,21.0,3.9047619047619047,2.142539659020619,1.0,2.0,4.0,6.0,7.0
 age,21.0,43.333333333333336,18.39655764900959,24.0,26.0,34.0,56.0,76.0
id,27.0,4.037037037037037,2.0658669530747296,1.0,2.0,4.0,6.0,7.0
 age,27.0,44.074074074074076,18.199589864199446,24.0,29.5,34.0,56.0,76.0
id,34.0,3.9705882352941178,2.1103682590837805,1.0,2.0,4.0,6.0,7.0
 age,34.0,43.88235294117647,18.19218064774376,24.0,27.75,34.0,56.0,76.0
id,34.0,3.9705882352941178,2.1103682590837805,1.0,2.0,4.0,6.0,7.0
 age,34.0,39.0,18.355083516810566,12.0,26.0,33.5,55.0,76.0
